,title
1493,Bambi (1942)
1503,Saving Private Ryan (1998)
1516,Flight of the Navigator (1986)
1522,"Honey, I Shrunk the Kids (1989)"
1526,"Negotiator, The (1998)"
1543,"Jungle Book, The (1967)"
1557,"Rocketeer, The (1991)"
1559,Sleeping Beauty (1959)
1567,Tron (1982)
1576,Indiana Jones and the Temple of Doom (1984)
1595,Charlotte's Web (1973)
1597,"Secret of NIMH, The (1982)"
1617,"NeverEnding Story, The (1984)"
1628,Beetlejuice (1988)
1644,Willow (1988)
1687,"Few Good Men, A (1992)"
1691,Rush Hour (1998)
1704,Edward Scissorhands (1990)
1734,American History X (1998)
1755,Enemy of the State (1998)
1768,King Kong (1933)
1796,Rushmore (1998)
1806,Romancing the Stone (1984)
1826,"Thin Red Line, The (1998)"
1858,Crocodile Dundee (1986)
1866,¡Three Amigos! (1986)
1883,Office Space (1999)
1904,Logan's Run (1976)
1905,Planet of the Apes (1968)
1917,"Lock, Stock & Two Smoking Barrels (1998)"
1939,"Matrix, The (1999)"
1946,Go (1999)
1971,Dick Tracy (1990)
1972,"Mummy, The (1999)"
1979,Star Wars: Episode I - The Phantom Menace (1999)
1986,Superman (1978)
1987,Superman II (1980)
1997,"Rocky Horror Picture Show, The (1975)"
2020,Run Lola Run (Lola rennt) (1998)
2028,"South Park: Bigger, Longer and Uncut (1999)"
2038,Ghostbusters (a.k.a. Ghost Busters) (1984)
2077,"Iron Giant, The (1999)"
2103,Big (1988)
2126,"13th Warrior, The (1999)"
2145,American Beauty (1999)
2157,Excalibur (1981)
2193,Total Recall (1990)
2216,"Dirty Dozen, The (1967)"
2218,Goldfinger (1964)
2219,From Russia with Love (1963)
2220,Dr. No (1962)
2226,Fight Club (1999)
2248,RoboCop (1987)
2250,Who Framed Roger Rabbit? (1988)
2254,Live and Let Die (1973)
2256,Thunderball (1965)
2259,Being John Malkovich (1999)
2286,Spaceballs (1987)
2287,Robin Hood (1973)
2302,Dogma (1999)
2372,"Green Mile, The (1999)"
2388,Easy Rider (1969)
2394,"Talented Mr. Ripley, The (1999)"
2434,Sister Act (1992)
2440,Wayne's World (1992)
2460,Scream 3 (2000)
2526,JFK (1991)
2579,"Good Morning, Vietnam (1987)"
2581,Grumpy Old Men (1993)
2608,Hook (1991)
2636,Predator (1987)
2674,Gladiator (2000)
2696,Road Trip (2000)
2733,Blazing Saddles (1974)
2764,Mad Max (1979)
2765,"Road Warrior, The (Mad Max 2) (1981)"
2798,Big Trouble in Little China (1986)
2836,X-Men (2000)
2847,What About Bob? (1991)
3673,M*A*S*H (a.k.a. MASH) (1970)
277,"Shawshank Redemption, The (1994)"
1284,Good Will Hunting (1997)
4615,Kill Bill: Vol. 1 (2003)
5305,Collateral (2004)
6253,Talladega Nights: The Ballad of Ricky Bobby (2006)
6315,"Departed, The (2006)"
6710,"Dark Knight, The (2008)"
6801,Step Brothers (2008)
7010,Inglourious Basterds (2009)
7154,Zombieland (2009)
7258,Shutter Island (2010)
7372,Inception (2010)
7415,"Town, The (2010)"
7768,"Dark Knight Rises, The (2012)"
7776,"Girl with the Dragon Tattoo, The (2011)"
8063,Django Unchained (2012)
8305,"Wolf of Wall Street, The (2013)"
8376,Interstellar (2014)
8466,Whiplash (2014)
8550,Ex Machina (2015)
8681,Mad Max: Fury Road (2015)
30,Dangerous Minds (1995)
545,Courage Under Fire (1996)
585,Wallace & Gromit: The Best of Aardman Animation (1996)
656,Escape from L.A. (1996)
696,My Fair Lady (1964)
832,"Doors, The (1991)"
962,"Deer Hunter, The (1978)"
971,Patton (1970)
1000,Field of Dreams (1989)
1054,Star Trek: The Motion Picture (1979)
1544,Lady and the Tramp (1955)
1701,"Thing, The (1982)"
1824,You've Got Mail (1998)
2416,Fast Times at Ridgemont High (1982)
2945,Requiem for a Dream (2000)
7185,2012 (2009)
20,Get Shorty (1995)
31,Twelve Monkeys (a.k.a. 12 Monkeys) (1995)
41,To Die For (1995)
47,Mighty Aphrodite (1995)
52,"Postman, The (Postino, Il) (1994)"
183,Before Sunrise (1995)
211,Heavenly Creatures (1994)
228,Like Water for Chocolate (Como agua para chocolate) (1992)
300,Muriel's Wedding (1994)
303,"Adventures of Priscilla, Queen of the Desert, The (1994)"
306,Bullets Over Broadway (1994)
315,Four Weddings and a Funeral (1994)
326,Maverick (1994)
413,In the Name of the Father (1993)
444,"Piano, The (1993)"
472,Sleepless in Seattle (1993)
506,Aladdin (1992)
512,Beauty and the Beast (1991)
577,"Truth About Cats & Dogs, The (1996)"
680,"Philadelphia Story, The (1940)"
681,Singin' in the Rain (1952)
684,Breakfast at Tiffany's (1961)
686,Rear Window (1954)
690,North by Northwest (1959)
692,Some Like It Hot (1959)
694,Casablanca (1942)
702,Gone with the Wind (1939)
817,Sleeper (1973)
819,"Fish Called Wanda, A (1988)"
824,Bonnie and Clyde (1967)
826,Dial M for Murder (1954)
833,"Crying Game, The (1992)"
884,"Grifters, The (1990)"
886,"English Patient, The (1996)"
891,Strictly Ballroom (1992)
901,Brazil (1985)
905,12 Angry Men (1957)
926,Amadeus (1984)
949,"Bridge on the River Kwai, The (1957)"
958,Stand by Me (1986)
965,Unforgiven (1992)
987,This Is Spinal Tap (1984)
1002,Butch Cassidy and the Sundance Kid (1969)
1071,Mars Attacks! (1996)
1113,Waiting for Guffman (1996)
1124,Donnie Brasco (1997)
1199,Conspiracy Theory (1997)
1232,"Full Monty, The (1997)"
1374,Bulworth (1998)
1390,Mulan (1998)
1404,There's Something About Mary (1998)
1424,West Side Story (1961)
1445,"Breakfast Club, The (1985)"
1494,Seven Samurai (Shichinin no samurai) (1954)
1541,Blue Velvet (1986)
1571,"Jerk, The (1979)"
1603,Pretty in Pink (1986)
1608,"Gods Must Be Crazy, The (1980)"
1640,Strangers on a Train (1951)
1730,Life Is Beautiful (La Vita è bella) (1997)
1741,Elizabeth (1998)
1761,Waking Ned Devine (a.k.a. Waking Ned) (1998)
1960,Election (1999)
2014,Austin Powers: The Spy Who Shagged Me (1999)
2036,Eyes Wide Shut (1999)
2078,"Sixth Sense, The (1999)"
2079,"Thomas Crown Affair, The (1999)"
2084,Bowfinger (1999)
2097,Airplane! (1980)
2382,Magnolia (1999)
2393,Galaxy Quest (1999)
2442,"League of Their Own, A (1992)"
2488,Wonder Boys (2000)
2546,Erin Brockovich (2000)
2605,High Fidelity (2000)
2907,Almost Famous (2000)
2916,Best in Show (2000)
2959,Billy Elliot (2000)
2983,"Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)"
2988,"Planes, Trains & Automobiles (1987)"
2998,Chocolat (2000)
3010,"O Brother, Where Art Thou? (2000)"
3016,Traffic (2000)
3141,Memento (2000)
3152,Blow (2001)
3157,Bridget Jones's Diary (2001)
3196,Moulin Rouge (2001)
3412,Ghost World (2001)
3574,Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001)
32,Babe (1995)
33,Dead Man Walking (1995)
35,Clueless (1995)
123,Apollo 13 (1995)
126,Batman Forever (1995)
217,Interview with the Vampire: The Vampire Chronicles (1994)
225,Little Women (1994)
229,Legends of the Fall (1994)
260,Quiz Show (1994)
302,Ace Ventura: Pet Detective (1994)
322,"Lion King, The (1994)"
337,True Lies (1994)
355,Addams Family Values (1993)
412,In the Line of Fire (1993)
450,"Remains of the Day, The (1993)"
464,"Secret Garden, The (1993)"
507,Terminator 2: Judgment Day (1991)
511,Snow White and the Seven Dwarfs (1937)
514,Pretty Woman (1990)
1,Jumanji (1995)
4,Father of the Bride Part II (1995)
6,Sabrina (1995)
9,GoldenEye (1995)
10,"American President, The (1995)"
15,Casino (1995)
16,Sense and Sensibility (1995)
18,Ace Ventura: When Nature Calls (1995)
21,Copycat (1995)
23,Powder (1995)
24,Leaving Las Vegas (1995)
53,"Indian in the Cupboard, The (1995)"
55,Mr. Holland's Opus (1995)
58,Bio-Dome (1996)
84,Broken Arrow (1996)
92,Happy Gilmore (1996)
93,"Bridges of Madison County, The (1995)"
99,Rumble in the Bronx (Hont faan kui) (1995)
113,Down Periscope (1996)
116,"Birdcage, The (1996)"
118,Bad Boys (1995)
131,Casper (1995)
133,Congo (1995)
134,Crimson Tide (1995)
138,Die Hard: With a Vengeance (1995)
140,First Knight (1995)
142,Hackers (1995)
152,Mallrats (1995)
156,"Net, The (1995)"
157,Nine Months (1995)
166,Species (1995)
172,Under Siege 2: Dark Territory (1995)
175,"Walk in the Clouds, A (1995)"
176,Waterworld (1995)
191,Don Juan DeMarco (1995)
192,Disclosure (1994)
196,Dolores Claiborne (1995)
202,French Kiss (1995)
203,Forget Paris (1995)
216,I.Q. (1994)
220,Junior (1994)
226,"Little Princess, A (1995)"
235,Mary Shelley's Frankenstein (Frankenstein) (1994)
238,Milk Money (1994)
239,Miracle on 34th Street (1994)
244,Nell (1994)
249,Natural Born Killers (1994)
253,Outbreak (1995)
254,Léon: The Professional (a.k.a. The Professional) (Léon) (1994)
263,"Quick and the Dead, The (1995)"
274,"Specialist, The (1994)"
276,"Santa Clause, The (1994)"
285,Tank Girl (1995)
287,Star Trek: Generations (1994)
295,What's Eating Gilbert Grape (1993)
297,While You Were Sleeping (1995)
308,"Client, The (1994)"
311,"Crow, The (1994)"
313,"Flintstones, The (1994)"
328,Naked Gun 33 1/3: The Final Insult (1994)
329,"Paper, The (1994)"
332,Richie Rich (1994)
334,Speed (1994)
340,Wyatt Earp (1994)
376,City Slickers II: The Legend of Curly's Gold (1994)
378,Cliffhanger (1993)
379,Coneheads (1993)
383,Dave (1993)
395,"Firm, The (1993)"
396,Free Willy (1993)
404,Hot Shots! Part Deux (1993)
406,"Englishman Who Went Up a Hill But Came Down a Mountain, The (1995)"
422,Last Action Hero (1993)
431,Executive Decision (1996)
434,Much Ado About Nothing (1993)
443,Philadelphia (1993)
455,Robin Hood: Men in Tights (1993)
459,Rudy (1993)
478,Super Mario Bros. (1993)
505,Ghost (1990)
527,"Aristocats, The (1970)"
533,Primal Fear (1996)
540,Sgt. Bilko (1996)
584,Multiplicity (1996)
607,Striptease (1996)
618,"Hunchback of Notre Dame, The (1996)"
627,"Frighteners, The (1996)"
630,Phenomenon (1996)
644,"First Wives Club, The (1996)"
649,Matilda (1996)
650,Emma (1996)
658,Tin Cup (1996)
668,"Island of Dr. Moreau, The (1996)"
811,Sleepers (1996)
602,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964)
706,2001: A Space Odyssey (1968)
839,Top Gun (1986)
945,Dead Poets Society (1989)
1187,Contact (1997)
1211,"Hunt for Red October, The (1990)"
1267,"Truman Show, The (1998)"
1322,As Good as It Gets (1997)
1398,Armageddon (1998)
2007,Notting Hill (1999)
2029,Wild Wild West (1999)
2039,Ghostbusters II (1989)
2355,Toy Story 2 (1999)
2507,Mission to Mars (2000)
2700,Mission: Impossible II (2000)
2892,"Naked Gun 2 1/2: The Smell of Fear, The (1991)"
2920,Remember the Titans (2000)
2966,Charlie's Angels (2000)
2982,Unbreakable (2000)
3002,What Women Want (2000)
3138,Enemy at the Gates (2001)
3194,Shrek (2001)
3197,Pearl Harbor (2001)
3234,A.I. Artificial Intelligence (2001)
3414,Planet of the Apes (2001)
3446,"Princess Diaries, The (2001)"
3559,K-PAX (2001)
3568,"Monsters, Inc. (2001)"
3614,Ocean's Eleven (2001)
3638,"Lord of the Rings: The Fellowship of the Ring, The (2001)"
3640,"Beautiful Mind, A (2001)"
3745,Ice Age (2002)
3819,Spider-Man (2002)
3832,Star Wars: Episode II - Attack of the Clones (2002)
3873,Minority Report (2002)
3885,Men in Black II (a.k.a. MIIB) (a.k.a. MIB 2) (2002)
3890,Road to Perdition (2002)
3915,Signs (2002)
3984,Spirited Away (Sen to Chihiro no kamikakushi) (2001)
4076,Harry Potter and the Chamber of Secrets (2002)
4137,"Lord of the Rings: The Two Towers, The (2002)"
4159,Catch Me If You Can (2002)
4161,Chicago (2002)
4334,X2: X-Men United (2003)
4351,"Matrix Reloaded, The (2003)"
4422,Hulk (2003)
4427,Pirates of the Caribbean: The Curse of the Black Pearl (2003)
4608,School of Rock (2003)
4639,"Matrix Revolutions, The (2003)"
4795,"Last Samurai, The (2003)"
4800,"Lord of the Rings: The Return of the King, The (2003)"
4940,Man on Fire (2004)
5160,Shrek 2 (2004)
5166,Harry Potter and the Prisoner of Azkaban (2004)
5222,Dodgeball: A True Underdog Story (2004)
5260,Spider-Man 2 (2004)
5269,"Bourne Supremacy, The (2004)"
5301,"Village, The (2004)"
5365,Sideways (2004)
5371,Saw (2004)
5374,"Incredibles, The (2004)"
5381,Finding Neverland (2004)
5382,National Treasure (2004)
5391,Ocean's Twelve (2004)
5738,"Aviator, The (2004)"
5850,Sin City (2005)
5896,Star Wars: Episode III - Revenge of the Sith (2005)
5917,Batman Begins (2005)
5931,War of the Worlds (2005)
5943,"Island, The (2005)"
6010,Capote (2005)
6209,X-Men: The Last Stand (2006)
6212,Cars (2006)
6238,Superman Returns (2006)
6346,Casino Royale (2006)
6352,"Holiday, The (2006)"
504,Home Alone (1990)
704,Sunset Blvd. (a.k.a. Sunset Boulevard) (1950)
794,"Lawnmower Man, The (1992)"
1259,Witness (1985)
1486,Back to the Future Part II (1989)
1498,"Godfather: Part III, The (1990)"
1711,"Producers, The (1968)"
3903,Austin Powers in Goldmember (2002)
3920,xXx (2002)
4096,Die Another Day (2002)
4117,Adaptation (2002)
4141,Gangs of New York (2002)
785,Mary Poppins (1964)
827,Dirty Dancing (1987)
946,"Graduate, The (1967)"
1005,When Harry Met Sally... (1989)
2899,Bring It On (2000)
3287,Legally Blonde (2001)
3831,About a Boy (2002)
3986,Sweet Home Alabama (2002)
4227,How to Lose a Guy in 10 Days (2003)
4360,Finding Nemo (2003)
4644,Love Actually (2003)
4867,50 First Dates (2004)
4944,Mean Girls (2004)
4948,Troy (2004)
5223,"Terminal, The (2004)"
5227,"Notebook, The (2004)"
5734,Hotel Rwanda (2004)
5794,Hitch (2005)
5911,Mr. & Mrs. Smith (2005)
6058,Pride & Prejudice (2005)
6063,Walk the Line (2005)
6258,"Pursuit of Happyness, The (2006)"
6433,300 (2007)
6534,"Bourne Ultimatum, The (2007)"
6638,Juno (2007)
6886,Quantum of Solace (2008)
6905,Twilight (2008)
6929,Yes Man (2008)
7039,Up (2009)
7078,Harry Potter and the Half-Blood Prince (2009)
7171,Up in the Air (2009)
7212,Avatar (2009)
7214,Sherlock Holmes (2009)
7371,Despicable Me (2010)
7416,Easy A (2010)
7466,"King's Speech, The (2010)"
7467,Tangled (2010)
7647,"Crazy, Stupid, Love. (2011)"
7665,"Help, The (2011)"
7802,Intouchables (2011)
7906,Brave (2012)
7927,"Amazing Spider-Man, The (2012)"
7955,Skyfall (2012)
8026,Life of Pi (2012)
8296,"Hobbit: The Desolation of Smaug, The (2013)"
8303,Frozen (2013)
8372,"Grand Budapest Hotel, The (2014)"
8636,Kingsman: The Secret Service (2015)
40,Mortal Kombat (1995)
333,"River Wild, The (1994)"
463,Searching for Bobby Fischer (1993)
1046,Sling Blade (1996)
1053,Die Hard 2 (1990)
1066,Under Siege (1992)
1105,Dante's Peak (1997)
1189,G.I. Jane (1997)
1209,Air Force One (1997)
1291,Titanic (1997)
1373,Godzilla (1998)
1399,Lethal Weapon 4 (1998)
1477,Lethal Weapon 3 (1992)
1045,Shine (1996)
1081,Beavis and Butt-Head Do America (1996)
1371,Deep Impact (1998)
1563,Splash (1984)
1821,"Karate Kid, Part II, The (1986)"
1870,She's All That (1999)
1940,10 Things I Hate About You (1999)
1947,Never Been Kissed (1999)
2022,Big Daddy (1999)
1193,Event Horizon (1997)
1231,Chasing Amy (1997)
1916,Cruel Intentions (1999)
2477,Pitch Black (2000)
2547,Final Destination (2000)
2701,Shanghai Noon (2000)
2779,Gone in 60 Seconds (2000)
2808,"Patriot, The (2000)"
2840,What Lies Beneath (2000)
2861,Space Cowboys (2000)
2888,"Cell, The (2000)"
2996,Snatch (2000)
3090,Hannibal (2001)
163,Showgirls (1995)
619,"Cable Guy, The (1996)"
144,Johnny Mnemonic (1995)
659,"Godfather, The (1972)"
902,Aliens (1986)
1035,"Nightmare on Elm Street, A (1984)"
1158,"Fifth Element, The (1997)"
1243,Gattaca (1997)
1391,"X-Files: Fight the Future, The (1998)"
1476,Lethal Weapon 2 (1989)
1545,"Little Mermaid, The (1989)"
1549,101 Dalmatians (One Hundred and One Dalmatians) (1961)
1693,Ronin (1998)
2614,Misery (1990)
2624,Frequency (2000)
2641,American Psycho (2000)
2657,U-571 (2000)
3006,Cast Away (2000)
3461,"Others, The (2001)"
4151,My Neighbor Totoro (Tonari no Totoro) (1988)
4408,28 Days Later (2002)
4851,The Butterfly Effect (2004)
4935,Kill Bill: Vol. 2 (2004)
5265,"I, Robot (2004)"
6330,Children of Men (2006)
6331,"Prestige, The (2006)"
6405,Ratatouille (2007)
6630,I Am Legend (2007)
6743,Iron Man (2008)
6772,WALL·E (2008)
6922,Gran Torino (2008)
7014,Moon (2009)
7075,(500) Days of Summer (2009)
7090,District 9 (2009)
7515,Limitless (2011)
7541,"Adjustment Bureau, The (2011)"
7562,Source Code (2011)
7693,"Avengers, The (2012)"
7767,The Hunger Games (2012)
7888,Prometheus (2012)
7979,Looper (2012)
8252,Gravity (2013)
8274,Captain Phillips (2013)
8395,Captain America: The Winter Soldier (2014)
8438,Edge of Tomorrow (2014)
8467,Gone Girl (2014)
8475,Guardians of the Galaxy (2014)
8537,John Wick (2014)
8683,Star Wars: Episode VII - The Force Awakens (2015)
8691,Deadpool (2016)
8697,Doctor Strange (2016)
8879,The Martian (2015)
8900,Inside Out (2015)
9223,Zootopia (2016)
9433,Rogue One: A Star Wars Story (2016)
98,Taxi Driver (1976)
474,Blade Runner (1982)
599,Wallace & Gromit: A Close Shave (1995)
695,"Maltese Falcon, The (1941)"
868,Wallace & Gromit: The Wrong Trousers (1993)
889,"Sex, Lies, and Videotape (1989)"
896,One Flew Over the Cuckoo's Nest (1975)
903,"Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)"
908,To Kill a Mockingbird (1962)
924,"Grand Day Out with Wallace and Gromit, A (1989)"
930,Annie Hall (1977)
951,Chinatown (1974)
960,Evil Dead II (Dead by Dawn) (1987)
966,"Manchurian Candidate, The (1962)"
975,Cool Hand Luke (1967)
997,"Killing Fields, The (1984)"
1265,Sliding Doors (1998)
1872,Payback (1999)
2032,Arlington Road (1999)
2044,Mystery Men (1999)
2260,Princess Mononoke (Mononoke-hime) (1997)
2350,"Fisher King, The (1991)"
2392,Man on the Moon (1999)
3562,Donnie Darko (2001)
3622,"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)"
4348,Laputa: Castle in the Sky (Tenkû no shiro Rapyuta) (1986)
4769,Nausicaä of the Valley of the Wind (Kaze no tani no Naushika) (1984)
4909,Eternal Sunshine of the Spotless Mind (2004)
5695,Old Boy (2003)
6311,"Pan's Labyrinth (Laberinto del fauno, El) (2006)"
7355,Toy Story 3 (2010)
793,Die Hard (1988)
922,"Godfather: Part II, The (1974)"
929,Raging Bull (1980)
934,"Sting, The (1973)"
1058,Star Trek III: The Search for Spock (1984)
1645,"Untouchables, The (1987)"
2292,Trading Places (1983)
2450,White Men Can't Jump (1992)
2743,For a Few Dollars More (Per qualche dollaro in più) (1965)
3363,Bill & Ted's Excellent Adventure (1989)
4176,City of God (Cidade de Deus) (2002)
4612,Mystic River (2003)
5791,Howl's Moving Castle (Hauru no ugoku shiro) (2004)
6927,"Wrestler, The (2008)"
7018,Star Trek (2009)
7413,"Social Network, The (2010)"
7469,"Fighter, The (2010)"
7483,True Grit (2010)
375,Carlito's Way (1993)
385,Demolition Man (1993)
486,True Romance (1993)
549,Dragonheart (1996)
613,Trainspotting (1996)
778,Cool Runnings (1993)
809,William Shakespeare's Romeo + Juliet (1996)
913,"Third Man, The (1949)"
1044,Star Trek: First Contact (1996)
1057,Star Trek II: The Wrath of Khan (1982)
1164,"Lost World: Jurassic Park, The (1997)"
1295,Jackie Brown (1997)
1438,Rain Man (1988)
1809,Rocky II (1979)
1810,Rocky III (1982)
1811,Rocky IV (1985)
1820,"Karate Kid, The (1984)"
2031,American Pie (1999)
2195,Ferris Bueller's Day Off (1986)
2222,"Fistful of Dollars, A (Per un pugno di dollari) (1964)"
2224,Home Alone 2: Lost in New York (1992)
2326,Sleepy Hollow (1999)
2444,"Bodyguard, The (1992)"
2462,"Boondock Saints, The (2000)"
2590,Modern Times (1936)
2806,Chicken Run (2000)
2828,Scary Movie (2000)
3167,Scarface (1983)
3525,Zoolander (2001)
3770,Panic Room (2002)
3854,"Bourne Identity, The (2002)"
3956,"Transporter, The (2002)"
4012,Bowling for Columbine (2002)
4018,"Ring, The (2002)"
4118,Equilibrium (2002)
4165,"Pianist, The (2002)"
4301,Anger Management (2003)
4356,Bruce Almighty (2003)
4361,"Italian Job, The (2003)"
4568,All the President's Men (1976)
4581,Monty Python's The Meaning of Life (1983)
4796,Big Fish (2003)
4889,"Good bye, Lenin! (2003)"
4918,Hellboy (2004)
5161,"Day After Tomorrow, The (2004)"
5263,Anchorman: The Legend of Ron Burgundy (2004)
5302,Garden State (2004)
5350,Team America: World Police (2004)
5366,The Machinist (2004)
5735,Charlie and the Chocolate Factory (2005)
5872,"Hitchhiker's Guide to the Galaxy, The (2005)"
5901,Madagascar (2005)
5936,Fantastic Four (2005)
5954,Serenity (2005)
5985,Lord of War (2005)
5997,Aeon Flux (2005)
6005,Corpse Bride (2005)
6007,"History of Violence, A (2005)"
6015,Wallace & Gromit in The Curse of the Were-Rabbit (2005)
6016,Kiss Kiss Bang Bang (2005)
6149,Ice Age 2: The Meltdown (2006)
6151,V for Vendetta (2006)
6155,Inside Man (2006)
6165,"Lives of Others, The (Das leben der Anderen) (2006)"
6170,Lucky Number Slevin (2006)
6221,Pirates of the Caribbean: Dead Man's Chest (2006)
6242,Little Miss Sunshine (2006)
6428,Zodiac (2007)
6488,Pirates of the Caribbean: At World's End (2007)
6518,Live Free or Die Hard (2007)
6521,Transformers (2007)
6530,"Simpsons Movie, The (2007)"
6580,Into the Wild (2007)
6609,American Gangster (2007)
6646,Sweeney Todd: The Demon Barber of Fleet Street (2007)
6676,In Bruges (2008)
6754,Indiana Jones and the Kingdom of the Crystal Skull (2008)
6760,Kung Fu Panda (2008)
6770,"Incredible Hulk, The (2008)"
6774,Hancock (2008)
6797,Watchmen (2009)
6865,Zack and Miri Make a Porno (2008)
6928,"Curious Case of Benjamin Button, The (2008)"
6985,Dr. Horrible's Sing-Along Blog (2008)
6992,"Girl with the Dragon Tattoo, The (Män som hatar kvinnor) (2009)"
7016,X-Men Origins: Wolverine (2009)
7043,"Hangover, The (2009)"
7278,Alice in Wonderland (2010)
7306,Kick-Ass (2010)
7324,Iron Man 2 (2010)
7391,"Other Guys, The (2010)"
7395,Scott Pilgrim vs. the World (2010)
7589,Thor (2011)
7608,Pirates of the Caribbean: On Stranger Tides (2011)
7620,X-Men: First Class (2011)
7645,Drive (2011)
7646,Captain America: The First Avenger (2011)
7770,Sherlock Holmes: A Game of Shadows (2011)
7920,Ted (2012)
8053,"Hobbit: An Unexpected Journey, The (2012)"
8151,Iron Man 3 (2013)
8159,Star Trek Into Darkness (2013)
8179,Now You See Me (2013)
8289,Thor: The Dark World (2013)
8295,The Hunger Games: Catching Fire (2013)
8425,X-Men: Days of Future Past (2014)
8452,Birdman: Or (The Unexpected Virtue of Ignorance) (2014)
8569,The Imitation Game (2014)
8572,The Hunger Games: Mockingjay - Part 1 (2014)
8686,Avengers: Age of Ultron (2015)
8689,Ant-Man (2015)
8695,Guardians of the Galaxy 2 (2017)
8696,Captain America: Civil War (2016)
8990,The Revenant (2015)
9162,"Big Short, The (2015)"
9392,Arrival (2016)
9463,Logan (2017)
44,Pocahontas (1995)
95,Muppet Treasure Island (1996)
145,Judge Dredd (1995)
330,Reality Bites (1994)
336,Timecop (1994)
364,Beverly Hills Cop III (1994)
483,"Nightmare Before Christmas, The (1993)"
522,Heavy Metal (1981)
558,Mystery Science Theater 3000: The Movie (1996)
587,"Craft, The (1996)"
598,Spy Hard (1996)
620,Kingpin (1996)
622,"Nutty Professor, The (1996)"
645,Ransom (1996)
661,Bound (1996)
685,Vertigo (1958)
697,Sabrina (1954)
714,To Catch a Thief (1955)
779,Angels in the Outfield (1994)
800,"Long Kiss Goodnight, The (1996)"
858,Escape from New York (1981)
916,Army of Darkness (1993)
956,Better Off Dead... (1985)
968,Arsenic and Old Lace (1944)
984,Heathers (1989)
1022,"Birds, The (1963)"
